[ INF ] Constructed projectionCL 
[ DEB ] 237 90 
[ DEB ] 247 34 
[ DEB ] 257 34 
[ DEB ] 268 91 
[ DEB ] 280 110 
[ DEB ] 294 104 
[ DEB ] 308 103 
[ DEB ] 325 149 
[ DEB ] 343 121 
[ DEB ] 363 146 
[ DEB ] 386 472 
[ DEB ] 411 194 
[ DEB ] 441 137 
[ DEB ] 475 137 
[ DEB ] 514 77 
[ DEB ] 561 51 
[ DEB ] 617 31 
[ DEB ] 686 13 
[ DEB ] 3861 86331 
[ TST ] Show disparity and depth images 
[ INF ] Computed disparity map 3 
[ INF ] Computed true disparity map 5 
[ INF ] Computed depth map 718.856 0.537166 4.06468 3861.45 
[ DEB ] Computed histogram 
[ DEB ] 4 2266 
[ DEB ] 5 1329 
[ DEB ] 6 41044 
[ DEB ] 7 21762 
[ DEB ] 8 40027 
[ DEB ] 9 17308 
[ DEB ] 10 16531 
[ DEB ] 11 18919 
[ DEB ] 12 17216 
[ DEB ] 13 16813 
[ DEB ] 14 29048 
[ DEB ] 15 24592 
[ DEB ] 16 18866 
[ DEB ] 17 8859 
[ DEB ] 18 2513 
[ DEB ] 19 2729 
[ DEB ] 20 2700 
[ DEB ] 21 11046 
[ DEB ] 22 24746 
[ DEB ] 23 2516 
[ DEB ] 24 3459 
[ DEB ] 25 6040 
[ DEB ] 26 4174 
[ DEB ] 27 10488 
[ DEB ] 28 1795 
[ DEB ] 29 6906 
[ DEB ] 30 2132 
[ DEB ] 31 2467 
[ DEB ] 32 4237 
[ DEB ] 33 947 
[ DEB ] 34 1789 
[ DEB ] 35 2677 
[ DEB ] 36 425 
[ DEB ] 37 1319 
[ DEB ] 38 3844 
[ DEB ] 39 1343 
[ DEB ] 40 508 
[ DEB ] 41 747 
[ DEB ] 42 2027 
[ DEB ] 43 386 
[ DEB ] 44 208 
[ DEB ] 45 94 
[ DEB ] 46 271 
[ DEB ] 47 519 
[ DEB ] 48 651 
[ DEB ] 49 465 
[ DEB ] 50 191 
[ DEB ] 51 343 
[ DEB ] 52 261 
[ DEB ] 53 305 
[ DEB ] 54 292 
[ DEB ] 55 523 
[ DEB ] 56 332 
[ DEB ] 57 164 
[ DEB ] 58 101 
[ DEB ] 59 114 
[ DEB ] 60 99 
[ DEB ] 61 245 
[ DEB ] 62 140 
[ DEB ] 63 288 
[ DEB ] 64 676 
[ DEB ] 65 373 
[ DEB ] 66 80 
[ DEB ] 67 146 
[ DEB ] 68 79 
[ DEB ] 69 46 
[ DEB ] 70 50 
[ DEB ] 71 394 
[ DEB ] 72 222 
[ DEB ] 73 200 
[ DEB ] 74 191 
[ DEB ] 75 210 
[ DEB ] 76 239 
[ DEB ] 77 384 
[ DEB ] 78 129 
[ DEB ] 79 118 
[ DEB ] 80 94 
[ DEB ] 81 88 
[ DEB ] 82 57 
[ DEB ] 83 55 
[ DEB ] 84 14 
[ DEB ] 85 16 
[ DEB ] 87 38 
[ DEB ] 88 48 
[ DEB ] 89 69 
[ DEB ] 90 91 
[ DEB ] 92 98 
[ DEB ] 93 74 
[ DEB ] 95 101 
[ DEB ] 96 793 
[ DEB ] 98 457 
[ DEB ] 99 268 
[ DEB ] 101 148 
[ DEB ] 102 120 
[ DEB ] 104 91 
[ DEB ] 106 85 
[ DEB ] 108 38 
[ DEB ] 110 37 
[ DEB ] 112 87 
[ DEB ] 114 106 
[ DEB ] 116 148 
[ DEB ] 118 178 
[ DEB ] 121 173 
[ DEB ] 123 179 
[ DEB ] 126 205 
[ DEB ] 128 732 
[ DEB ] 131 202 
[ DEB ] 134 150 
[ DEB ] 137 111 
[ DEB ] 140 63 
[ DEB ] 143 61 
[ DEB ] 147 46 
[ DEB ] 150 22 
[ DEB ] 154 11 
[ DEB ] 158 30 
[ DEB ] 162 37 
[ DEB ] 166 44 
[ DEB ] 171 48 
[ DEB ] 176 43 
[ DEB ] 181 42 
[ DEB ] 187 56 
[ DEB ] 193 144 
[ DEB ] 199 56 
[ DEB ] 205 47 
[ DEB ] 213 37 
[ DEB ] 220 36 
[ DEB ] 228 28 
[ DEB ] 237 24 
[ DEB ] 247 16 
[ DEB ] 257 11 
[ DEB ] 268 30 
[ DEB ] 280 33 
[ DEB ] 294 44 
[ DEB ] 308 45 
[ DEB ] 325 43 
[ DEB ] 343 54 
[ DEB ] 363 52 
[ DEB ] 386 270 
[ DEB ] 411 33 
[ DEB ] 3861 72276 
[ TST ] Show disparity and depth images 
